operator_utterance,spot_requirement_utterance
オペレーター: 四万十川ですね？,カスタマー: おまけにウナギも食べちゃい、えたらいいなと思いましたけど。
オペレーター: こちら、どうでしょう？今、い、お二つ、四万十川付近で検索して出てきたんですけども、こちら、どち、どっちか。,カスタマー: どっちかというと前者のほうが、やっぱりいいですかね。
オペレーター: 前者？,カスタマー: 貸切。
オペレーター: こちらと先ほどのだったら。,カスタマー: さらにこっちのがいいですね。
オペレーター: どういったご旅行をご希望でしょうか。,カスタマー: 出来れば、温泉とスキーを楽しみたいと思ってまーす。
オペレーター: いつ頃、ご旅行なさいますか。,カスタマー: やはりスキーなので、冬ですね。
オペレーター: ではお客様こちらす、雫石スキー場に行くとしてー、他は、どういったものをご覧になりたいかご希望ございますか。,カスタマー: 引き続きほ、ほ、ほ、他の温泉に夜入りたいなーと思っているんですけど、
オペレーター: お客様、露天風呂がよろしいか、あるいは室内のお風呂がいいかー、そういったご希望ございますか。,カスタマー: どっちでもいいですけど、露天風呂でじゃあ、お願いします。
オペレーター: わんこそばとか、それってちょっと、どうですかねー。食事じゃないよ、っていう方もいらっしゃるかもしれませんのでー、,カスタマー: わんこそばはー、実はすごい気になってはいててー、自分も子供も食べたいと思ってました。
オペレーター: もう一個、冷麺もあるようでー、盛岡、冷麺とわんこそばだとどちらがよろしいですかね。,カスタマー: わんこそばの方が良いと思います。
オペレーター: では、先ほどの話に戻りますとー、お夕食の方ですね、夕ご飯の方は、お魚ー、ご希望ですか。,カスタマー: お魚が、おね、お願いしたいですー、魚でお願いしたいです。
オペレーター: そのうどんすきの中に、海鮮が入っているような感じの場所とかも御座いますしー、いかかー、ですかねー、どう。,カスタマー: うどんー、がいいですね。
オペレーター: もう一度、お願い出来ますか。,カスタマー: うっ、うどんー、が良いです。
オペレーター: どうでしょうか、専門店で買うのとー、それかー、いろんなー、ものから選べるようなー、その物産館のような所ですね、そういった所から、選ぶの、どちらが良いですかね。,カスタマー: 物、産館ー、の方が良いですね。
オペレーター: 本日は、ご旅行の、ご計画されているということで、まず行先など、決まってる範囲で教えていただいてもよろしいでしょうか？,カスタマー: そうですね、青森の方、行ったことがないので行ってみたいなあと思ってます。
オペレーター: 青森県、青森県、具体的に青森県のどこまでっていうのは決まってらっしゃらないということでよろしいですか？,カスタマー: そうですね、家が埼玉なもんで大宮が近いので、東北新幹線で行けるところぐらいから、そっからちょっと足を延ばしてもいいかなと思ってますけど。
オペレーター: で、季節とかもし決まってれば、まだ決まってない。,カスタマー: そうですね、雪のころはやっぱりつらいんで、はるさ、春先ぐらいがいいかなあと<>。
オペレーター: じゃあお一人で楽しめるようなところのほうがいいですか？なんか具体的にやりたいことがあれば、まずお調べしたいと思うんですけど。,カスタマー: そうですね、やっぱり青森といえばー、ねぶた祭なのかなと思うんですけど、夏になりますし、まあすごい混むと聞いてますんで、しょっぱなですから、あー、ねぶたのなんかそういった出し物みたいなのが、展示されて<>見えたりとかですね、あとはー、やっぱり津軽三味線の、おー、ライブをみ、見たりとかですね、あとよく分かりませんけど、大間のマグロなんかもたぶんどっかで捕れるんだろうから、海産物とかも美味しいのかなと思うので、そういったところ行ったりとかできたらいいかなあなんて、漠然と思ってるんですけど。
オペレーター: 三味線を、ライブでしたっけ、そういったのを。,カスタマー: そうですね、そういうの見ながら、お酒でも食事でもとれるようなところがあったら行ってみたいなあと思うんですけど。
オペレーター: お客様どのようなご旅行をお考えでしょうか？,カスタマー: 温泉、どっか温泉に行って、リラックスしたいなと思ったんですけど。
オペレーター: お客様、何名様で行かれる予定ですか？,カスタマー: 一人で行けるところを探してます。
オペレーター: 例えばなんですけれども、行かれる時期とかはお決まりですか？,カスタマー: 例えば、秋とか、紅葉の時期？とかに良さそうな場所とか。
オペレーター: できればなんですけれども、例えば例えば東日本側がいいですとか、西日本側がいいですとか、どちらか絞れますか？,カスタマー: じゃあ、東日本？のほうで。
オペレーター: ありますよね。そういった風呂もありますけど、何か、こだ、こだわりとかありますか？,カスタマー: 温泉…できれば、源泉かけ流し？の、温泉がいいなーって思っていて。
オペレーター: こちらも、なかなかよろしいかと思いますね。,カスタマー: じゃあ、その源泉かけ流しで、色んなお湯に、色んなお湯と言うか。温泉街？みたいな所ってありますか？
オペレーター: 硫黄の温泉？ですね。,カスタマー: 今聞いていて、そういう、いろ、温泉街みたいなところで、色んなお湯に、入って、出て、ちょっとお茶したり、またお湯に入りに行ってお茶したりみたいなイメージとー。一箇所で、すごい落ち着いたさっきの秘湯とか、そういう雰囲気がありそうな所で、1日ゆっくりするっていうのと、すごく迷ってるんですけど。
オペレーター: そうですね。こちら、登別温泉とだけなってますので、特に源泉かけ流しかどうかは特に書かれてはないんですよね。,カスタマー: そしたら、一番の、温泉に行くときの、これだけはっていうポイントが、私的には源泉かけ流しなので、それに絞って探したいです。
オペレーター: かしこまりました。あと何か、お客様の方で、見たり食べたりとかそういったご要望はございますか？,カスタマー: 食べたりしたいですね。ちょこちょこ色んなものを、甘いものとか。お茶するだけだったりでもいいんですけど。
オペレーター: そうですか。,カスタマー: どちらかといえば、でも、和食がいいかな、
オペレーター: そうしますと、お客様、例えば蟹はお好きですか？,カスタマー: 蟹、大好物でーす。
オペレーター: 確かに。多分、コース料理は、に、2名様というところが多そうですよね。,カスタマー: お店側が一人でもオッケーっていう感じであれば、どこでも一人で入れるタイプなので、フフフ、問題ないんですけど。
オペレーター: ええ、ええ、ええ。,カスタマー: そういうものにちょっとでも関係する場所とか、触れられる場所とかってあるんですかね？
オペレーター: お客様、どのような旅行をお考えでしょうか？,カスタマー: あまり具体的なことは決めてないのですが、一度、しまなみ海道周辺を、旅したいと思っていましてー、しまなみ海道は、行くとしたら自転車で、横断したいんですけどー
オペレーター: 何名様で行かれる予定でございますか？,カスタマー: そうですね。友人と二人で行こうかなと思っています。で、友人も、女性じゃなくて男性の、男性と行こうかなと思ってるんですけどー
オペレーター: あと、すいません。具体的に行かれる季節ですとかー、決まっておりますか？,カスタマー: 季節はー、特に決まってないんですが、冬はちょっと自転車は寒いかなあと思うので、できれば冬以外がいいかなと思っています。
オペレーター: あと他にですねー、しまなみ海道に行かれましてー、あと例えば他に観光したいですとかー、何か見てみたいですとかー、食べたりとかー、そういったご要望はございますか？,カスタマー: 訪ねられたら行ってみたい場所があるんですけどー、
オペレーター: 左様でございますか。,カスタマー: その二つの島にもし行ければ、行ってみたいなあと思っています。
オペレーター: すいません。他に、他に何かご要望はございますか？,カスタマー: そうですね、もし途中かゴールのほうがいいかな、ゴール地点の近くでー、温泉に入れる場所があればー、寄ってみたいのとー、しまなみ海道の、名物も味わいたいのでー<>、甘いものとか、あとは昼食かな、昼食おすすめスポットがあれば教えていただけたらと思います。
オペレーター: それでも構いませんし、終わったあと、<>行かれても大丈夫かと思うんですけれどもー,カスタマー: 分かりました、戻ってきてから入るっていうのであれば<>いいかなと
オペレーター: あとー、どこか美味しいものを食べたいとのことですよね。,カスタマー: 普通にメインメニューのお食事も食べたいですしー、途中、休憩、甘いものも、食べてみたいです。
オペレーター: かしこまりました。お食事なんですけれどもー、郷土料理が良いですとかー、何かご要望はございますか？,カスタマー: 広島なのでー、お好み焼きが<>かと思いましてー、そういうちょっと焼き物系のお店、おすすめあれば<>
オペレーター: かしこまりました、それでは、まず行先についてお聞きしたいんですけどもー、具体的にどこ行きたいとかって決まってらっしゃいますか？,カスタマー: 北海道で考えてます。
オペレーター: 北海道ですねー、はい、ちなみに北海道、何月ごろに行くとか、季節はどれぐらいに行きますか？,カスタマー: 冬ですね。
オペレーター: ちなみに、人数は何名様で行かれるご予定でしょうか？,カスタマー: 一人旅です。
オペレーター: 何か、アクティビディというか、こういうことがしたいとかー、こういう場所が見てみたいとか、あとは、どういうものが食べてみたいとか、そういったご希望やアイデアはございますか？,カスタマー: せっかく冬なので、脂が乗った魚は食べたいですね。
オペレーター: 魚介料理のお店かなりたくさんございまして、例えば、カニが食べたいですとか、カキが食べたいとか、そういったなんかご希望ってございます？,カスタマー: カニいいですね。
オペレーター: どうでしょう、もう何件かご紹介したほうがよろしいでしょうか？,カスタマー: じゃあもう一件ぐらい、
オペレーター: <>昼間とか何か、アクティビティだったり、どっかちょっと見てみたい場所だったりとか、お探しになったほうがいいかなと思うんですけど、<>。,カスタマー: 写真がとれるようなスポットとかあるといいなと、冬の、
オペレーター: <>結構その自然、なんていうんだろ、自然の風景だったり、の方がいいでしょうか、それとも<>歴史的な例えば建造物でしたりとかー、の方がいいですか？,カスタマー: そうです、じゃあ歴史的な建造物の方で。
オペレーター: それとも、札幌から離れたところとかーでもお探しすることもできますけど、どうでしょうか。,カスタマー: でも、それくらいで、そうですね、時計と、ありますし、<>、そうですね、大学、そのどれぐらい歩き回って時間かかる分からないのでー、結構、そうですね。
オペレーター: そうですね、東京ドーム38個分です<>。,カスタマー: <>ゆっくり大学見て、時間が余ったら時計台やってーみたいな、そんな感じでいいのかなあと思います、
オペレーター: ではここまでで一応、夕食と、北海道大学と時計台で写真を撮るというところまでは、決まったと思うんですが、他に何かやってみたいこととかってございますか？,カスタマー: じゃあ昼食ですね。なんかお昼で<>美味しいお肉とか。
オペレーター: 結構お昼はお肉料理がいい感じですか？,カスタマー: そうです、そうですね、どうしようかな、夜魚、魚というかカニなので、肉料理でもいいし、ラーメンとかでもいいし、
オペレーター: そうですね、やっぱあれですね、コース料理みたいなやつじゃなくて、なんていうか、一品物みたいなほうがよろしいですかね。,カスタマー: そうですね、それこそ丼物二件ハシゴするくらいでもいい気持ちなので、
オペレーター: ほかなんか、ラーメン以外ですと、例えばなん、なんですか、ジンギスカンとかですかね、<>料理でいいますと。,カスタマー: それこそ食べ歩きできるような店でもいいです、
オペレーター: どうでしょう、こちらも一応リストとかにいれたほうがいいですか？それとももうちょっとほかの店とかも。,カスタマー: でも、今の2件どちらも良さそうなので、一応リストに入れる形で、お願いします。
オペレーター: かしこまりました、かしこまりました、ではスープカリーひげ男爵と、万屋マイキーこちらのスープカレー店2件もリストに加えさせていただきますねー。,カスタマー: 実際に行くのは一件かなという感じですね、
オペレーター: あとどうでしょう、もうちょっと軽めのやつとか、食べ物でしたりとか、また、お菓子だったりとか、そういった食事系も探しますか、それとも、<>全然違うやつとかでも食事じゃないやつとかでも大丈夫ですけど。,カスタマー: お土産も買えるようなお菓子のお店があると、
オペレーター: お土産ですと、例えば、どうですかね、ぱっと見る限り魚介的なお土産屋さんとかー、ほかには、スイーツですね、スイーツとか、いくつかこう種類があるんですけど。,カスタマー: スイーツで、そうです、スイーツでお願いします、
オペレーター: 大丈夫ですよ。,カスタマー: 宮城県のほうに行って…宮城県とか石巻？行ってみ<>
オペレーター: なるほど。,カスタマー: 仙台<>行ってみたいんですけどー、
オペレーター: かしこまりました。では仙台でどういったことをなさりたいですか？,カスタマー: 妹とちょ、ちょっと歳の離れた妹と行きたいんですけれどもー
オペレーター: では、行かれる季節はいつになさいましょうか？,カスタマー: 夏です、夏。
オペレーター: こういった点に配慮してほしいとか、ご希望はございますか？,カスタマー: 妹が足がちょっと悪い、不自由なもんですからー、<>色々まわりたい気持ちは山々なんですけどー。なんかあっ、アップダウンが激しいとことか、
オペレーター: 分かります。,カスタマー: そういうとこは避けたいかなって感じです。
オペレーター: そうしますと、どうなんでしょう。具体的には何か屋外にある場所を、ちょこっと見るような感じがいいのか。,カスタマー: 自立歩行できますので、妹も。車椅子と<>ないのでー。
オペレーター: ええ、ええ。,カスタマー: あの<>えっとー、ま、ゆっくりであれば、ちゃんと歩け<>できるのでー。例えば幼少期の二人の共通の記憶をたどってー、朝は、港のほうの朝市を見てー、マルシェみたいのなんかあった気がするんです<>
オペレーター: 大体、何時ぐらいに行かれるお考えでしょうか？,カスタマー: やっぱり朝、朝の雰囲気をのみたい、楽しみたいので、<>てー、早く起きてー、開店と、8時の開店と同時に<>、9時までには入りたいかなって感じで。
オペレーター: <>朝が<>,カスタマー: 行きたいかなって、
オペレーター: では、どうしましょう。その後、たーくさん時間が残ると思うんですけれどもー。,カスタマー: 夏場、夏場なので、悪くならないものを購入したらその足でー、朝、朝市のエリア内にあるー<>、生きが良い、せ、鮮魚のお店で、こ、ごは、昼食を食べる<>ますかねー。
オペレーター: お客様、10時とか、それぐらい早い時間がよろしいですか？,カスタマー: 頑張って早起きをしてますしー、あとあんまりお昼時混むと妹のことも心配なので、開店と同時に早<>けど、早弁感覚で、
オペレーター: では、こちら、ちょっと早めのお昼ご飯といった感じになるかもしれないんですけれどもー、この次いかがいたしましょう？,カスタマー: その次はですね、お腹もいっぱいになったので<>、昔、仙台駅の駅前にー、えっと、古びた映画館があったかと<>もしその映画館がもしかしたら様変わりしてしまったかもなんですけど、<>休みがてら映画館で<>、何でもいいんですけど、見たいかなって感じなんですけど、ありますかね。
オペレーター: まだまだオプションございますけれども、いかがいたしますか？,カスタマー: 今日は朝は早起きをしてしまって、あ、<>てー、で、早弁もしたのでー、オヤツの時間を飛ばしてー、ちょっと早めのお夕食、<>早弁にしようかなと思うんですがー、先程の地底の博物館の、あとにー、えーとー、んー、お昼は和食だったのでガッツリ洋食ではないんですがー、
オペレーター: 洋風のものが良いか、和風のものが良いか。,カスタマー: 仙台の勝手なイメージなんですが、やっぱり和風寄りかなと思うのでー、ずんだとかはまた違うか。<>、あずき<>ありますかねー、
オペレーター: ずんだのお餅とかのがいいですかね。,カスタマー: いいです。
オペレーター: お客様、どちらがよろしいでしょうか？,カスタマー: ふふふ、両方って言いそうになっちゃったんですけど。
オペレーター: ほんとですか。,カスタマー: <>鯛焼きは絶対マストですね、はい、行きたいです。
オペレーター: お客様、両方行ってもいいんですよ。,カスタマー: いいです。両方お願いします。
オペレーター: 楽しむことができます。,カスタマー: 鯛焼きをサクッと<>あとにー、そちらの、ずんだ餅の専門店で、えとちょっと<>こしは食べてー、あとお土産<>を買ってかららの、にしようかな、
オペレーター: 今回はどのようなご旅行をご予定してますか。,カスタマー: 海で。泳いだりとかリゾート気分を味わえるようなとこに行きたいなーって思ってます。
オペレーター: ご人数様は何人くらいで行かれたいですか？,カスタマー: <>友だちと二人で。
オペレーター: では、いれ、探していきたいと思うんですけれども、何かご希望とかございますか？どこがいいとか、地名とかで。,カスタマー: そうですねー、綺麗な海がいいので。えへへ。沖縄方面とかなんですかね？やっぱり。大体かんがえ、想像とかなんですけど、やっぱ沖縄の離島とか。
オペレーター: 大体かんがえ、想像とかなんですけど、やっぱ沖縄の離島とか。,カスタマー: その辺がいいのかなあ。
オペレーター: こちらはすごい写真が出てるんですけど、綺麗な海なんですが、こちらはいかがですかね。,カスタマー: こ、何ていうんですかね、ビーチもあって。何ていうんですか、日本っぽく無いところが良いです。
オペレーター: <>はいかがですかね。,カスタマー: 近くに街みたいなのがある所がいいなあって思ってて。
オペレーター: ここを見学して、あとでビーチで泳ぐみたいな感じの、グラスボートとか見た後に近くにビーチがございます。,カスタマー: 潜ったりする体験が出来るようなところとかがあればいいなあって思うんですけど。
オペレーター: ダイビングですね。,カスタマー: ダイビングっていうか、何ていうんでしょう、ダイビング、素潜りぐらい。ふふっ。
オペレーター: そろそろお腹がすく頃になると思うんですけれども、何か食べたいものとかありますか？,カスタマー: 沖縄の。食事がははは、食べたいです。
オペレーター: 一応出てきましたのが、おそばみたいな、,カスタマー: ソーキそばとかがいいですね、
オペレーター: 食べた後何かすスイーツとかなにか召し上がりたいものとかありますか？,カスタマー: アイスとか。
オペレーター: 少々お待ちください。,カスタマー: なんか冷たいものが食べたいです。
オペレーター: ふふふ。い、ハワイアンケーキ。,カスタマー: そう、海外気分味わいたいなと思うので。
オペレーター: お肉とかも。,カスタマー: 海が見えるバーみたいなそういうとことか。バーみ。バーがよろしいですか？景色が良いバーみたいな。
オペレーター: 海が見えた方がいいんですよね。,カスタマー: 海っていうか景色がいいバーとか。
オペレーター: 一応ですね、え海でトップマリンにはい、行って、琉球ガラスてぃだ工房で色々なんか作っていただくいうこ、あ、ソーキそばをお召し上がりいただきまして、はわ、ハワイアンパンケーキをお召し上がりいただき、あフルーツランドでフルーツをいただくって感じなんですけれども、お土産かどうしますか？なんか特別回ってみますか。,カスタマー: なんか買いたいですね。配る用のお土産も買いたいです。
オペレーター: じゃあ今ちょっと見てるんですけれども、お菓子、ガラスの、ガラス館とか、ガラスとかの、展示販売されてるところとか、お菓子とかあるんですけれども、いかがですか。,カスタマー: 沖縄のお菓子が良いです。
オペレーター: で、この度は、ご旅行のご相談ということでしたが、行先はもう、決まってらっしゃいますか？,カスタマー: 沖縄を、考えてます。
オペレーター: こちらはいつ頃ご旅行されるかっていうのは、もう、決まってらっしゃる<>。,カスタマー: 春頃の予定を、考えてます。
オペレーター: こちら、何名様ぐらいで行かれる感じでしょうか？,カスタマー: 今のところ2名です。
オペレーター: 沖縄県で、何かやってみたいことですとか、そういった何かご希望はございますか？,カスタマー: まず、初めて行くので。
オペレーター: そうなんですね。,カスタマー: 沖縄の、沖縄の、綺麗な海を見たいなって思ってます、
オペレーター: どういう感じの、シチュエーションが。,カスタマー: できれば、立ち入りできるビーチ。
オペレーター: ビーチ。,カスタマー: へ、行って、実際に砂浜を、歩きたいなって、思ってます。
