previous_operator_utterance,current_utterance
オペレーター: はい、お客様、あのー九州なんですけれども、例えば九州のどのあたりとかそういったご要望はございますか？,カスタマー: そうですね、1回も行ったことがないので、福岡はまず行ってみたいっていうのと、あとはまぁ隣接してる長崎であったり、大分であったり、まぁそういった<>良いかなっていう思いはあります。
オペレーター: はい、あとそうですね、えーっと、福岡市内で…例えば…何か食べたい物とかそういったご要望はありますか？,カスタマー: そうですね、結構有名なのが。
オペレーター: えぇ。,カスタマー: めんた、明太子とかもつ鍋とか。
オペレーター: あーそうですよね。えぇ。,カスタマー: 特にもつ鍋とかは有名なんですけど、なんか、ゆう、なんかお店とかでオススメとかがあれば、まぁ教えてほしいですね。
オペレーター: はい。,カスタマー: じゃあ逆にお昼頃とかに、なんか、博多ラーメン、まぁラーメンが結構好きなんで、なんか、そういう。
オペレーター: えぇえぇ。<>。うん。食べれるお店とかがあれば、まぁお土産とかでもいいんですけど。,カスタマー: えぇえぇ。<>。うん。食べれるお店とかがあれば、まぁお土産とかでもいいんですけど。
オペレーター: えぇー、せっかくですので、うん、はい、今お調べいたしまーす。,カスタマー: <>のところを、はい、気になるのでちょっと調べていただけると、はい。
オペレーター: はい、こちら最寄りの駅が出島…という出島え、駅ですね。はい、となっておりますね、はーい。あと何か食べたいものとかご要望ございますか？,カスタマー: あーはいそうですね。やっぱ長崎だと。
オペレーター: えぇ、えぇ。,カスタマー: まぁ長崎ちゃんぽんと、まぁ佐世保バーガーは知ってるんですけど。
オペレーター: はい。,カスタマー: まっそれで有名なとこでも良いですし、なんか他に長崎と言えばみたいな物があれば教えてほしいです。
オペレーター: はい…あとそうですね。,カスタマー: 1つすいません。聞きたいんですけど。
オペレーター: えーっとですねこちらがですね、はい。えーとですねすいません、あのーですね、今ただいま調べたんですけれども、ちょっと具体的なお酒…の品種がですね、ちょっとすいませんこちらの方で出てこなくてですね。,カスタマー: あーなんか多分焼酎とかが有名だと思うんですけど。
オペレーター: あー、あっそうですか。はい。じゃ、もうちょ、えぇ、ただいまお調べいたします、少々お待ちください。,カスタマー: ちょっともしかしたら下の熊本とか鹿児島の。
オペレーター: あーさようですか。,カスタマー: 薩摩の方の方が。
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: と、沖縄県に。
オペレーター: はい。,カスタマー: えー、1日、1日使って。
オペレーター: はい。,カスタマー: ちょっと1人で、あのー、旅行に行こうかなと思ってます。
オペレーター: 行かれる時期はお決まりでしょうか？,カスタマー: そうですね。やっぱり夏頃を考えてます。
オペレーター: そういったご要望はございますか。,カスタマー: そうですね。やっぱり有名どころでいうと、あの、水族館。
オペレーター: はい。はい。,カスタマー: とか、あと首里城とか。
オペレーター: はい。,カスタマー: やっぱメジャーなところに行ってみないな、みたいなと思ってまして。
オペレーター: はい。他にもご要望がございますか。,カスタマー: そうですね、水族館なければ動物が好きなので、動物園ってありますか？
オペレーター: はい。,カスタマー: もう帰る時に有名なお土産は。
オペレーター: はい。,カスタマー: 見て買って帰ろうかなあとは思ってます。
オペレーター: はい。何か、あのー、召し上がりたいものとか、何かご案内いたしましょうか？,カスタマー: そうですね。もう有名どころで何か食べて。
オペレーター: はい。,カスタマー: 水族館行って、お城行って、あとは、そうですね、まあ。
オペレーター: はい。,カスタマー: 自然のきれいな海とか見れたらいいかなと思います。
オペレーター: はい。,カスタマー: さっき夜景が、き、きれいってとこが出てきたんで。
オペレーター: はい。,カスタマー: 何か他に夜景がきれいなところってありましたかね？
オペレーター: はい。,カスタマー: <>も決まって、行くところも決まって、夜ご飯食べて、夜景も見れて帰るんで。
オペレーター: はい。あ、はい。,カスタマー: あと、お土産を買って帰れるんで、もう完璧かなと思います。
オペレーター: えっと今回ご旅行の、あのーご希望とかー、行きたい場所なんていうのは決まっていますでしょうか？,カスタマー: あの、友人と石川県へ行きたい。
オペレーター: えっと、季節的にはー、は、春とか夏とか、何か。,カスタマー: <>、3月ぐらい。
オペレーター: えっと、石川県ではー、何をなさりたいですか？,カスタマー: 白山て、あのおっきな山、分かりますか？
オペレーター: 少々お待ちください。,カスタマー: あそこの近くに行きたい、ですけどね。
オペレーター: あの、食べたいものとか、ありますか？,カスタマー: できれば、あら？そうだねえ。
オペレーター: あの、食べたいものとか、ありますか？,カスタマー: まあ3月だからー、まあちょっとあっちの方、寒いーので、寒いと思うんですよね。
オペレーター: はい。,カスタマー: こっちより。
オペレーター: はい。,カスタマー: 東京より。
オペレーター: はい。,カスタマー: 鍋もんとか、まあラーメンとかは、ない？
オペレーター: はい。,カスタマー: ラーメンと…。
オペレーター: ラーメンでございますか？,カスタマー: ラーメンないよね、多分ね、そっちの。
オペレーター: あらー。,カスタマー: お酒飲めないんだけども、お米…あー。
オペレーター: と、それからー、えー、あとはーやっぱりお芋を使ったお料理、あー、お菓子であったりとかー、あとーこれは、んー。,カスタマー: あのー、できればなんか、はく、博物館とか美術館とか、ある、あるー、ある<>。
オペレーター: あ、そういったところ、見たいですか？,カスタマー: そうですね。
オペレーター: あははは。,カスタマー: 行くんだったらそういうとこー、あの、ない、ところ行きたい。
オペレーター: あと、なんか一応さっき仰られてたんですけど、動物園はいくつかありまして、んっとーカピバラとか見たければカピバラがいる動物園があるんですけど。,カスタマー: 行くんだったらね。
オペレーター: あとは特に何か、あのー見たいとか、あとは買いたいとかっていうのは、ございますか？,カスタマー: あの、一応あればいーんですけど、絵？
オペレーター: はい。,カスタマー: 絵画、とかって、絵画、美術館とか美術…ある？
オペレーター: はい。,カスタマー: あるんだったら。
オペレーター: あとは。,カスタマー: え、絵の、絵の、絵の美術展…。
オペレーター: 本日は、えー、ご旅行の、えー、ご計画されているということで、えー、まず行先など、えー、決まってる範囲で教えていただいてもよろしいでしょうか？,カスタマー: そうですね、あの、青森の方、行ったことがないので行ってみたいなあと思ってます。
オペレーター: 青森県、えーと、青森県、えー、具体的に青森県のどこまでっていうのは決まってらっしゃらないということでよろしいですか？,カスタマー: そうですね、あの、家が埼玉なもんで大宮が近いので、あのー、東北新幹線で行けるところぐらいから、お、まあそっからちょっと足を延ばしてもいいかなと思ってますけど。
オペレーター: で、季節とかもし決まってれば、まだ決まってない。,カスタマー: そうですね、まあ、うーんと、雪のころはやっぱりつらいんで、はるさ、春先ぐらいがいいかなあと<>。
オペレーター: で、えーと、じゃあお一人で楽しめるようなところのほうがいいですか？なんか具体的にやりたいことがあれば、まずお調べしたいと思うんですけど。,カスタマー: そうですね、あのー、まああのー、やっぱり青森といえばー、あの、ねぶた祭なのかなと思うんですけど、まあ、夏になりますし、まああの、すごい混むと聞いてますんで、しょっぱなですから、まあ、あー、ねぶたのなんかそういった出し物みたいなのが、なんかこう展示されて<>見えたりとかですね、あとはー、やっぱり津軽三味線の、おー、まあ、ライブをみ、見たりとかですね、あのー、あとよく分かりませんけど、大間のマグロなんかもたぶんどっかで捕れるんだろうから、まあ、海産物とかも美味しいのかなと思うので、そういったところ行ったりとかできたらいいかなあなんて、まあ、漠然と思ってるんですけど。
オペレーター: 三味線を、あのー、ライブでしたっけ、そういったのを。,カスタマー: そうですね、そういうの見ながら、なんかお酒でも食事でもとれるようなところがあったら行ってみたいなあと思うんですけど。
オペレーター: はい、かしこまりました、えー、それでは、えー、まず行先についてお聞きしたいんですけどもー、具体的にどこ行きたいとかって決まってらっしゃいますか？,カスタマー: あ、北海道で考えてます。
オペレーター: あ、北海道ですねー、はい、ちなみに北海道、えー、何月ごろに行くとか、季節はどれぐらいに行きますか？,カスタマー: と、冬ですね。
オペレーター: あ、ちなみに、人数は何名様で行かれるご予定でしょうか？,カスタマー: あ、一人旅です。
オペレーター: 何か、アクティビディというか、こういうことがしたいとかー、なんかこういう場所が見てみたいとか、あとはなんか、どういうものが食べてみたいとか、そういったご希望やアイデアなんかはございますか？,カスタマー: そうですね、まあせっかく冬なので、まあ脂が乗った魚は食べたいですね。
オペレーター: はい、えーそうですね、えーとー、魚介料理のお店かなりたくさんございまして、例えば、えーとー、カニが食べたいですとか、カキが食べたいとか、そういったなんかご希望ってございます？,カスタマー: あー、カニいいですね。
オペレーター: はい、どうでしょう、もう何件かご紹介したほうがよろしいでしょうか？,カスタマー: そう、じゃあもう一件ぐらい、はい。
オペレーター: <>昼間とか何か、えーと、アクティビティだったり、どっかちょっと見てみたい場所だったりとか、お探しになったほうがいいかなと思うんですけど、<>。,カスタマー: そうですね、昼、そうですね、なんだろう、まあちょっと、そうですね、まあ写真がとれるようなスポットとかあるといいなと、冬の、はい、はい。
オペレーター: <>結構その自然、なんていうんだろ、自然の風景だったり、の方がいいでしょうか、それとも<>歴史的な例えば建造物でしたりとかー、の方がいいですか？,カスタマー: あー、そうです、じゃあ歴史的な建造物の方で。
オペレーター: それとも、もうちょっとなんか札幌から離れたところとかーでもお探しすることもできますけど、どうでしょうか。,カスタマー: まあでも、それくらいで、そうですね、まあ時計と、ありますし、<>、そうですね、大学、ねえ、そのどれぐらい歩き回って時間かかる分からないのでー、結構、そうですね。
オペレーター: そうですね、東京ドーム38個分です<>。,カスタマー: <>ゆっくり大学見て、時間が余ったら時計台やってーみたいな、そんな感じでいいのかなあと思います、はい。
オペレーター: はい、ではえっと、ここまでで一応、夕食と、まあ北海道大学と時計台で写真を撮るというところまでは、えー、決まったと思うんですが、他に何かやってみたいこととかってございますか？,カスタマー: んと、じゃあ昼食ですね。
オペレーター: はい。,カスタマー: はい、なんかお昼で<>はい、美味しいお肉とか。
オペレーター: あ、結構お昼はお肉料理がいい感じですか？,カスタマー: そうです、まあ、そうですね、ま、どうしようかな、夜魚、ねえ、魚というかカニなので、まあ、肉料理でもいいし、まあラーメンとかでもいいし、はい。
オペレーター: えーと、そうですね、やっぱあれですね、なんかちょっとコース料理みたいなやつじゃなくて、こう、なんていうか、一品物みたいなほうがよろしいですかね。,カスタマー: そうですね、まあ、ねえ、それこそ丼物二件ハシゴするくらいでもいい気持ちなので、はい。
オペレーター: ほかなんか、ラーメン以外ですと、えーと、例えばなん、なんですか、ジンギスカンとかですかね、<>料理でいいますと。,カスタマー: そうですね、はい、まあなんか、それこそ食べ歩きできるような店でもいいです、はい。
オペレーター: どうでしょう、こちらも一応リストとかにいれたほうがいいですか？それとももうちょっとほかの店とかも。,カスタマー: そー、ですね、まあそ、あーでも、今の2件どちらも良さそうなので、はい、一応リストに入れる形で、はい、お願いします。
オペレーター: ええ、ええ、あ、はい、かしこまりました、はい、かしこまりました、ではスープカリーひげ男爵と、えーとー、万屋マイキーこちらのスープカレー店2件もリストに加えさせていただきますねー。,カスタマー: 実際に行くのは一件かなという感じですね、はい、ええ。
オペレーター: あとどうでしょう、もうちょっとなんか軽めのやつとか、あの、食べ物でしたりとか、また、なんかお菓子だったりとか、そういった食事系も探しますか、それともなんか、<>全然違うやつとかでも食事じゃないやつとかでも大丈夫ですけど。,カスタマー: そうですね、あー、そのお土産も買えるようなお菓子のお店があると、はい。
オペレーター: お土産ですと、例えば、どうですかね、なんか、ちょっとなんか、ぱっと見る限り魚介的なこう、お土産屋さんとかー、ほかには、まあスイーツですね、スイーツとか、まあいくつかこう種類があるんですけど。,カスタマー: そうですね、その、スイーツで、そうです、スイーツでお願いします、はい。
オペレーター: ええ、大丈夫ですよ。,カスタマー: 宮城県のほうに行って…宮城県とか石巻？行ってみ<>
オペレーター: ええ。あー、なるほど。,カスタマー: 仙台<>行ってみたいんですけどー、はい。
オペレーター: かしこまりました。では仙台でどういったことをなさりたいですか？,カスタマー: はい。えっとー、ま、えと妹とちょ、ちょっと歳の離れた妹と行きたいんですけれどもー
オペレーター: では、行かれる季節はいつになさいましょうか？,カスタマー: あ、えっと、夏です、夏。
オペレーター: 何か、あのー、こういった点に配慮してほしいとか、ご希望はございますか？,カスタマー: あ、えっと実はあの、ちょっとあの、うふん、妹が足がちょっと悪い、不自由なもんですからー
オペレーター: ええ、ええ。,カスタマー: <>きれば、あのー、ま、色々まわりたい気持ちは山々なんですけどー。
オペレーター: ええ、ええ。,カスタマー: あまりこう、何て言うのかな、こう、なんかこう、あっ、なんかよく分かんない、アップダウンがちょっと激しいとことか、はい。
オペレーター: ええ、分かります。ええ。ええ、ええ。,カスタマー: そういうとこはちょっと避けたいかなって感じです。
オペレーター: ええ。,カスタマー: あ、そうですね。あのー、自立歩行できますので、妹も。あの、車椅子と<>ないのでー。
オペレーター: ええ、ええ。,カスタマー: あの<>えっとー、ま、ゆっくりであれば、ちゃんと歩け<>できるのでー。
オペレーター: ええ。,カスタマー: 例えばあのー、ちょっと幼少期の二人の共通の記憶をたどってー
オペレーター: ええ。,カスタマー: 朝は、ちょっと、なんか、港のほうの朝市を見てー、なんか、マルシェみたいのなんか、なんかあった気がするんです<>
オペレーター: そうしますと、大体、何時ぐらいに行かれるお考えでしょうか？,カスタマー: そうですね、うんとー、うん、もう、そうだな、やっぱり朝、朝の雰囲気をのみたい、楽しみたいので、ちょっと<>てー、早く起きてー
オペレーター: ええ。,カスタマー: なんだろう、ま、開店と、8時の開店と同時に<>
オペレーター: ええ、ええ。,カスタマー: 9時までには入りたいかなって感じで。
オペレーター: やっぱ<>朝が<>,カスタマー: やっぱりちょっと、はい、行きたいかなって、はい。
オペレーター: はい。では、どうしましょう。その後、たーくさん時間が残ると思うんですけれどもー。,カスタマー: そうですね。とりあえずあのー、なんだろう、ま、夏場、夏場なので、ちょっとこう、悪くならないものをちょっとこう<>購入したらその足でー、その、なんだろう、朝、その、朝市のエリア内にあるー<>、生きが良い、せ、鮮魚のお店で、こ、ごは、あっ昼食を食べる<>ますかねー。
オペレーター: どうでしょう、お客様、10時とか、それぐらい早い時間がよろしいですか？,カスタマー: そうですね、頑張って早起きをしてますしー、あとあんまりお昼時混むとちょっと妹のことも心配なので、もう、開店と同時にちょっと早<>けど、早弁感覚で、はい、はい。
オペレーター: はい、では、こちら、ちょっと早めのお昼ご飯といった感じになるかもしれないんですけれどもー、この次いかがいたしましょう？,カスタマー: はい。えーと、その次はですね、ちょっとお腹もいっぱいになったので<>
オペレーター: ええ、ええ。,カスタマー: あのー、そうだな、どうしようかな。なんか昔、そのー、あの、仙台駅の駅前にー、えっと、なんか、なんか古びた映画館があったかと<>けどー、もしその映画館がもしかしたら様変わりしてしまったかもなんですけど、なんか<>があればー、ちょっと休みがてら映画館で<>、何でもいいんですけど、見たいかなって感じなんですけど、ありますかね。
オペレーター: まだまだオプションございますけれども、いかがいたしますか？,カスタマー: そうですね、あのー、えっと今日は朝は早起きをしてしまって、あ、<>てー、で、早弁もしたのでー、え<>、ちょっとあのーオヤツの時間を飛ばしてー、ちょっと早めのお夕食、また<>早弁にしようかなと思うんですがー、そのー、先程のそのー、地底の博物館の、あとにー、えーとー、そうですね、んー、お昼は和食だったのでちょっと、あ、ガッツリ洋食ではないんですがー、なんかちょっとこう
オペレーター: 要はそのー、洋風のものが良いか、和風のものが良いか。,カスタマー: そうですね、なんか、仙台の勝手なイメージなんですが、ちょっとやっぱり和風寄りかなと思うのでー
オペレーター: はい。,カスタマー: なんか、なんだろう、あ、ずんだとかはまた違うか。なんかそういう<>、あずき<>ありますかねー、なんか。
オペレーター: ずんだのお餅とかのがいいですかね。,カスタマー: ふっ、いいです。
オペレーター: お客様、どちらがよろしいでしょうか？,カスタマー: えっと、いま、ふふふ、両方って言いそうになっちゃったんですけど。
オペレーター: あ、ほんとですか。,カスタマー: <>鯛焼きは絶対マストですね、もう。絶対、はい、それはもう行きたいです。
オペレーター: お客様、両方行ってもいいんですよ。,カスタマー: はい、いいです。ふっ、両方お願いします。
オペレーター: ええ。,カスタマー: まず、えーと、鯛焼きをサクッと<>あとにー、そちらの、ずんだ餅の専門店で、えとちょっと<>こしは食べてー、あとお土産<>を買ってかららの、にしようかな、はい。
オペレーター: はい、で、この度は、えと、ご旅行のご相談ということでしたが、えーと、行先はもう、決まってらっしゃいますか？,カスタマー: あ、はい、沖縄を、考えてます。
オペレーター: はい、こちらはえーと、いつ頃ご旅行されるかっていうのは、もう、決まってらっしゃる<>。,カスタマー: はい、春頃の予定を、考えてます。
オペレーター: こちら、えっと、何名様ぐらいで行かれる感じでしょうか？,カスタマー: はい、今のところ2名です。
オペレーター: ええと、沖縄県で、えと何かやってみたいことですとか、そういった何かご希望はございますか？,カスタマー: はい、まず、初めて行くので。
オペレーター: あ、そうなんですね。,カスタマー: 沖縄の、あ、はい。
オペレーター: ええ。,カスタマー: 沖縄の、綺麗な海を見たいなって思ってます、はい。
オペレーター: ね。,カスタマー: できれば、あの、立ち入りできるビーチ。
オペレーター: ビーチ。,カスタマー: へ、行って、実際に砂浜を、歩きたいなって、思ってます。
オペレーター: 一応、沖縄県のどの辺に行かれるとかっての、決まってたりしますか？,カスタマー: はい、とりあえず、無難に那覇にしよう、と思ってます。
オペレーター: では、えーと、ほかに何か、やりたいことはございますか？,カスタマー: あとは、沖縄の歴史めぐりみたいのをしたいですね、はい。
オペレーター: こちらもやはり、あの那覇、周辺がよろしいでしょうか？,カスタマー: そうですね、あ、でも、けっこう有名なものとか、貴重なものがあったら、少し離れても、大丈夫です。
オペレーター: それか、あのー、まあ、戦争に関係したような、あの、場所がいくつかあるんですけど。,カスタマー: うん、うん、あ、できれば、琉球王国とかそういう。
オペレーター: ええ、ええ、ええ。,カスタマー: 感じのがいいです。
オペレーター: いかが、なさいますか？もう少々歴史的な場所ですとかをお伝えいたしましょうか？,カスタマー: そうですね、他にもありますかね？
オペレーター: ほか、は、ですね、少々お待ちください、やはり、琉球王国、に関連したものがいいですかね？,カスタマー: そうですね、まあ、沖縄も初心者なので、まあ。
オペレーター: ええ。,カスタマー: メジャーなところとか、おっきなところ、有名なところとかを、とりあえず中心に巡りたいですね。
オペレーター: お酒とかって、あまり飲まないですか？,カスタマー: お酒はそうですね、どちらも飲まないので、はい、食べる。
オペレーター: どのようなりょ、ご旅行を、ご希望ですか。,カスタマー: あ、えっとー、家族で夏休みに旅行したいんですけども。
オペレーター: あの、はい。,カスタマー: 高知県に行ってみたいなと思って。
オペレーター: あ、そうですか。,カスタマー: 夫が、あのー、行ってみたいって、い、言ってまして。
オペレーター: <>とか。,カスタマー: あの、子どもが小さいので。
オペレーター: はい。あ、そうですね。,カスタマー: 子どもが遊べる所に。
オペレーター: あ、承知しました。,カスタマー: 子ども中心でいきたいんです。
オペレーター: えーっと、これは、あの、ちょっとプールみたいな形になっちゃうんですけ、あっ、季節的にはいかがですか。何月ぐらいが。,カスタマー: あっ、えーと、夏休み、8月に行きたいんですけれども。
オペレーター: ご希望、ございますか。,カスタマー: えー、そうですね、その、子どもがやっぱり喜ぶところがいいなと思いますけど。
オペレーター: ない。アス、アスレチックとかはないですね。,カスタマー: あー、遊ぶ場所があるほうがいいですね。
オペレーター: お食事は、どういったものがいいですか。,カスタマー: んーと、子ども連れでも、あのー、あんまり気兼ねなく。
オペレーター: あっ、はい。,カスタマー: 入れるとこがいいですけどね。
オペレーター: あとは、夕飯とかはどんなものをお召し上がりになりたいですか。,カスタマー: そうですね。夕飯は、なんか高知県の名物、何かあれば。
オペレーター: 和食がいいですかね？,カスタマー: 和食がいいです。
オペレーター: あとは、特に何かありますか。,カスタマー: はい。あ、あのー、やっぱ高知県っていうと、あのー、四万十川とかのカヌー下りとか。
オペレーター: はい。,カスタマー: あれ、やってみたいなとは思うんですけど、やっぱ。あ、はい。
オペレーター: はい。,カスタマー: 子どもが小さいので。
オペレーター: フ、はい。ハハハ。,カスタマー: できなくて。なんか、あの。
オペレーター: はい。,カスタマー: その、カヌーとか乗らなくても、その、川遊び。
オペレーター: はい。,カスタマー: とか、楽しめるとこがあったら教えていただきたいんですけど。
オペレーター: 見るでもよろしいですかね、じゃあ、あの。,カスタマー: そう…。見たり…。
オペレーター: 遊ぶっていうよりは。,カスタマー: ちょっと、はい、入ってぱちゃぱちゃやるぐらい。
オペレーター: うーん。,カスタマー: のことが何かできるのかなと思って。
オペレーター: あのー、そうですね…。,カスタマー: 船みたいのあるんですか。
オペレーター: 本日はご利用、ありがとうございます。えっと、今回のご旅行は、どちらのほうに行かれたいと思ってらっしゃいますか。,カスタマー: あ、北海道なんですけれど。
オペレーター: あ、はい。季節とか、お決まりですか。,カスタマー: あ、春が、やっぱりいいかなと思って。
オペレーター: あ、えーと、何人さまで、ご予定しておりますか。,カスタマー: えーと、私と友達2人で考えております。
オペレーター: はい。えっとー、沖縄では、どういったことをしたいですか。,カスタマー: あ、北海道です。フフフフフ。
オペレーター: あー、すいません、まち…。あの、北海道では、どのようなことをされたいですか。,カスタマー: そうですね、なんか、うーん、あんまりよく…。ま、観光地っぽいところも、し、行きたいんですけど。
オペレーター: はい。,カスタマー: あのー、あまり張り切りすぎないで、あのー、友達とおしゃべりしたり、のんびり。
オペレーター: テイザンケイの辺りで、何か観光をお探ししましょうか、あの。,カスタマー: そうですね。近くになんか。
オペレーター: えっとー、マッサージとか、あと、なんか、エステとかっていうのはご興味ないですか。,カスタマー: んー、そうですね。そこまでしなくてもいいかな。
オペレーター: ちょっと、でも、お洋服見るって感じじゃないですね。,カスタマー: そうですね。ヘヘ。うんうん。観光だから。うん。
オペレーター: なんか、いい感じですね。なんか、じゃ、雨降っても大丈夫ってことで、じょ、女子にもお勧めって書いてあるんですけれども。,カスタマー: じゃあ、そのビールも。
オペレーター: こちらは、な…。,カスタマー: たくさん買って、なんか、送りたいですよ、うちに。ウフフ。
オペレーター: ご、ご夕食の、候補で。,カスタマー: 今、なんか急に思い、アハッ、思い付いたんです。えっと、昼は、
オペレーター: はい。,カスタマー: あの、北海道の、ら、あ、えっと、さっ、あの、か、ラーメンじゃなくて、カレーはどうですか、なんか。
オペレーター: うん。,カスタマー: ちょっと辛いのが苦手な子がいるかもしれないから。
オペレーター: よろしくお願いいたします。あの、こん、今回のご旅行なんですけれども、どちらの方面を、あのご希望されてらっしゃいますか？,カスタマー: 沖縄です。
オペレーター: あ、あとご老人の方とかはいらっしゃいますか。,カスタマー: もいないです。えっと子供は小学生と中学生と高校生なんですけれど。
オペレーター: はい。えっと、沖縄はえっと、季節的には。,カスタマー: そうですね、春がいいかなと思ってるんです。
オペレーター: あ、はい。あの。,カスタマー: 子どもたちが喜べるところがいいかなと思って。
オペレーター: はい。いちご狩りとかは。,カスタマー: <>いちご狩りよりも、食べるよりも遊ぶほうがいいかな、<>よりは。
オペレーター: あ、あとはあの、お食事とかオートキャンプ場で済まされちゃいますかね。何か夕飯とか特別にお、ご料理。,カスタマー: そうですね。例えばなんか、昼はそのそこでバーベキューして、夜はちょっとあのー近くに食べに行くっていうのでもいいかなと思うんですけれど。
オペレーター: あ、はい。ではあの、夕飯をちょっとお探ししますので、えっとー和食がいいですか？それともあのー。,カスタマー: 沖縄料理が食べたいです。
オペレーター: いらない、ちょっとなんか、ら、それっぽすぎますかね。あとは。,カスタマー: あのー、なんか私ちょっとあの、この例えば土地の食材とか、あのーなんか調味料とか、そういうの持って帰ってなんか家でもまた調理したいなとか思うんですけど。何か。
オペレーター: あー。はい。あーじゃあちょっと、あの、であれば、あのマックスバリューがあるんですね。,カスタマー: こういうの揃ってるところありますか？ふーん、あーなるほど。
オペレーター: えっと、ご旅行の予定とゆーか、あの、どちらの方面に行きたいとか、あの、ございます、か？,カスタマー: えーとー、北海道に行きたいんですけれども。
オペレーター: えと、季節とかー、ご希望ございますか？,カスタマー: えーとー、秋頃ですかね。
オペレーター: えーとー、特にあのー、何かやりたいこと、とゆーかー、あの、ご希望ございますか？,カスタマー: えーとー、ちょっと紅葉が綺麗な所に行きたいんですけども。
オペレーター: あとー、お食事とか、あの、何かこう、やってみたいとか、食べてみたいとか、ございますか？,カスタマー: あー、食事はそうですねー
オペレーター: あとー、お食事とか、あの、何かこう、やってみたいとか、食べてみたいとか、ございますか？,カスタマー: あのー、やっぱり海鮮、お寿司とかー、美味しいところが。
オペレーター: 函館の近くで、<>いま、ちょっと探してみます。,カスタマー: なんか、で、で、一人なんで、できればあんまり、高くない、店がいいんですけどー。
オペレーター: 紅葉以外に、はい。,カスタマー: 秋、秋なんで、もう、ちょっと肌寒いかなと思うんですけれどもー、なんか屋内の施設で面白そうなところが、あれば。
オペレーター: テーマパークみたいのがよろしいですか？それともアウトドアとか、体験とか、そうゆう…,カスタマー: あー、そうですね、一人なんでー、なんか見て、楽しめる…
オペレーター: 見て楽しめる…,カスタマー: なんか美術館とか、博物館とか
オペレーター: あー,カスタマー: そういった感じ。
オペレーター: どうでしょうね、いろんな所を、まー、他のお店でも、あの、お土産屋さんはあると思うんですけれどもー、お土産でも検索しますか？,カスタマー: あ、そうですね。お土産、買うのに、便利な場所があれば。
オペレーター: よろしくお願いします。お客様どちらへご旅行になりますでしょうか？,カスタマー: そうですね、なんとなくしか決めてないんですけど、えっと夫婦、50代の夫婦二人で
オペレーター: ええ、ええ。,カスタマー: んーなんかちょっと秋なので、なんとなくなんですけど、箱根方面に行きたいかなーって思うんですけど。
オペレーター: あるいはぼんやりとどういったことしたいなとかあればこちらの方でお調べ致します。,カスタマー: あっ、はい。えっとそうですね、何か所か<>とこがあるんですけど
オペレーター: ええ。,カスタマー: あのーちょっとあの名称とかはわからないんですけど
オペレーター: ええ。,カスタマー: 確か何かオルゴール、あっオルゴールの美術館的なものがあるって<>で、
