previous_operator_utterance,current_utterance
オペレーター: 静かな所でー、あのー、パフェでお茶を飲んだりとか、ハーブティーとか、いかがですか？,カスタマー: あー。
オペレーター: じゃあこちらって形でよろしいでしょうか？,カスタマー: はい、じゃあそうしてください。
オペレーター: ええ<>でございますね。,カスタマー: そうですね、あの、沖縄、冬でもまあもちろん本州よりあったかいですし、現地に行くとお楽しみいただけるかもしれませんよね。
オペレーター: もうそのまま食べるもの、の流れでえーと。,カスタマー: はい。
オペレーター: 例えばなんですけれども。,カスタマー: はい。
オペレーター: うんうん。,カスタマー: うんうん。
オペレーター: うん。あの、北海道産の新鮮なコクのある牛乳を使ったー。,カスタマー: はい。
オペレーター: 日本酒を、あのー、お買い物。一応、えっと、白瀧酒造さんで、えーとー、見る、あの、お買い物をするっていうかたちでよろしいでしょうか？,カスタマー: そうですね。はい。
オペレーター: あ、地平線、そうだ。,カスタマー: 地平線ですね。地平線。
オペレーター: 本日はご利用頂きましてありがとうございます。,カスタマー: お客様ご旅行の相談でよろしいでしょうか。
オペレーター: ああ、安心です。,カスタマー: はい、あ、ではえーっと、そろそろ時間の方がきてしまいましたので。
オペレーター: 行った先になります。,カスタマー: さっきのとこ、こっちのだとなんかどっちが魅力的とか。
オペレーター: はい。,カスタマー: そうなんですか。私、花も好きなので、あのー。はい、そこ行ってみたいですねー。
オペレーター: <>のー、実はなんか、幼少期にちょっとあのー,カスタマー: ええ。
オペレーター: なるほどですね。,カスタマー: うん。
オペレーター: 例えば、京都の中心部がよろしいか、まあつまり京都市でございますね。,カスタマー: はい。
オペレーター: そういうとこでもいいですね。,カスタマー: ちょっと今、食べるというカテゴリーで、検索させていただいてます、ちょ、見るというカテゴリーに変えて。
オペレーター: 福岡とかでも良いんですけど。,カスタマー: はい。
オペレーター: はい。,カスタマー: <>、まあ、わ、うんも、私どうつけると、はや、早起きな方ですけどー、午前中にその二つ回って。
オペレーター: ええ、ええ。,カスタマー: <>らー、あのー、例えばホッケとかー、あとー、お刺身の盛り合わせみたいなもの？
オペレーター: あのー、ビアレストランでいろいろ、ジンギスカンとか焼肉とか、和食とか色んな物が楽しめるような感じなんですけれども,カスタマー: あー、はい。
オペレーター: って書いてますね。,カスタマー: はい。
オペレーター: ああ、そうですか。,カスタマー: なんか、お肌に優しい弱アルカリ性の温泉だと書いてあります。こちらは、あの、朝の10時から夕方の18時までな、なんですけれども、お値段は500円でございます。
オペレーター: はい。,カスタマー: そうですね、それもこう駅から近い感じなんですかね？やっぱり。
オペレーター: ここって他になんか、あのー、レストラン以外の施設が付いてたりするとこですか？ビール園って。,カスタマー: あの、バーとか、あの、ま、居酒屋、ですね。あとー
オペレーター: ええ、あのー、あの、こちらの写真ではね、すごい美味しそうに写ってるんですけれども、フフ。,カスタマー: ハハハハ。え、本屋さんなんですか？
オペレーター: はい？,カスタマー: 熊を食べ、食べるとこがないかなーって。
オペレーター: ええ。そうですね、ええ、ええ、私共のほうに、えーございます情報ですと。,カスタマー: はい。
オペレーター: 高級な感じのお店と、ここは懐石なんですけれども、あとは、しゃぶしゃぶとか。,カスタマー: はい。
オペレーター: はい。,カスタマー: はい。はい。ただ今、お調べいたしましたところ、はい。あのー。
オペレーター: じゃあすいません、ちょっとお時間が、えっとー、来てしまったので、えっとー、これで…、あの、ご案内の方は、以上になります。,カスタマー: はい。
オペレーター: ん、テイザンケイの近くですと、2件、3件あるんですけど、これ、特に、こう、日本の人が作ったカレーというのと、インド人が作ったカレーというのがあって。,カスタマー: うん、うん。
オペレーター: じゃあ、えっとー、イエスナンバビルをチェックしときますね。,カスタマー: はい、お願いしまーす。
オペレーター: 山菜そばとかうどんとか。,カスタマー: あー。
オペレーター: ほー。,カスタマー: うんうん、しゃぶしゃぶって別にこうぶりしゃぶとかそういうものだったりするんすか？普通にお肉。
オペレーター: とー、紅葉を見に行きたいんですけれども。,カスタマー: はい、かしこまりました。今お調べ致しますので、少々お待ちください。
オペレーター: あのー、ま、いろいろ滑り台とかジャングルジムとかあって。,カスタマー: んー。なおかつ、その、芝生もあり。
オペレーター: そう、器が選べるみたいです、はい。,カスタマー: へー。
オペレーター: こういったのって、お好きですか？,カスタマー: そうですね、なんか美味しそうな感じがします。
オペレーター: ンフ、そうですね。,カスタマー: イカナイですね。ヘヘ。
オペレーター: あのー、雪印ってゆう、あのー、有名な、あの、乳製品を扱った会社の本社がございましてー,カスタマー: はい
オペレーター: ええ。,カスタマー: ええ、大丈夫ですよ。
オペレーター: はい。,カスタマー: はい。
オペレーター: 大丈夫、大丈夫ですか？酔わ、酔われないですかね？,カスタマー: そうですね。でも、長時間じゃないので大丈夫です、全然、はい。
オペレーター: あ、お願いします。,カスタマー: はい。
オペレーター: あはは。,カスタマー: ただあの、一応これが、あの長崎のトルコライスということで。
オペレーター: なんか、ゆ、よくわからなくってー、あのー…。,カスタマー: ええ、ええ。
オペレーター: うん。,カスタマー: サク…サクラとなってる？あ、そうなんですね。あー、はあ、はあ、はあ、はあ。
オペレーター: ここであれば、お風呂。,カスタマー: うん。
オペレーター: ええ、ええ、ええ。,カスタマー: あ、いえいえいえ。
オペレーター: あ、はい。,カスタマー: ああ、そこに行ってみたいですー、ぜひ。
オペレーター: はい、ではお伝えいたします。,カスタマー: えー、0167、
オペレーター: はい。ええ、ええ。はい。そうですね、あのー大変便利だと思います。,カスタマー: はい。
オペレーター: 一つには、やっぱり北海道なんで地平線が見たいのと、ま、今のところで見れればそれでいいんですけど。,カスタマー: うんうん。
オペレーター: そうですね、まぁちょっと。,カスタマー: はい。
オペレーター: へぇ。,カスタマー: はーい。こちら明太子、色々種類がございまして。
オペレーター: あの、是非、あの、お勧めしたいんですけれども,カスタマー: はい
オペレーター: 知らないです。,カスタマー: 知床岬っていうのが、あの知床半島の、ほんと先端の岬、になります。
オペレーター: 駄目ですか。アハッ、お、おみ、お土産ですけど。あの、あとワイナリーとかもありますが。,カスタマー: お土産ね。あ、お土産ね。
オペレーター: はい。,カスタマー: あのー、水族館が見つかりまして。
オペレーター: ほー、あ、いいですね、はい。,カスタマー: それとも、もうちょっとなんか札幌から離れたところとかーでもお探しすることもできますけど、どうでしょうか。
オペレーター: はい。,カスタマー: はい。
オペレーター: そこはーもう、はい。,カスタマー: こちらはあの9時半から5時まで開館してますが。
オペレーター: はい。,カスタマー: はい、ありがとうございます。
オペレーター: ですね、フフフ。,カスタマー: フフ、すごい楽しみですね。
オペレーター: お値段が、載っ…、てなくてですね。,カスタマー: なるほどなるほど。じゃ実際に問合せてからみたいなとこですよね。
オペレーター: あぁ、ごまさば。,カスタマー: はい、ええ。そういったあのー料理を食べさせてくれるお店もございます。
オペレーター: 星地球博物館の方に行かれるということで。か。,カスタマー: あっはい。はい。
オペレーター: うん。,カスタマー: うん。
オペレーター: うん。,カスタマー: はい。
オペレーター: はい、そうですねやはり伊豆ですとあの海産物。,カスタマー: うんうん。
オペレーター: はーい。,カスタマー: では、えーとー、<>、うどんで調べますので、少々お待ちください。
オペレーター: はい、こちら川下りの方は四千百円、お一人様でございますね。,カスタマー: はい。
オペレーター: はい。樺太犬、太郎の剥製もございまして。,カスタマー: はい。
オペレーター: ふーん、ああ、いいねえ、それ。,カスタマー: でも、世界さん、三大珍獣がいるっていう。
オペレーター: 面白そうですね。,カスタマー: うん。
オペレーター: ふんふんふん。,カスタマー: ただあのー、アクセスはよさそうですね。
オペレーター: ええ、ええ,カスタマー: はい
オペレーター: あー。,カスタマー: そのーほかにもですねー、なんか沖縄料理ということでー、たまごのなんていうんでしょう、スクランブルエッグの上に、えー、スパムっていうんですかね、それがのって、そうですそうです、ただちょっとなんか、沖縄まで行ってこれ食べる<>感じもしますしー、ええ、ちょっと待ってくださいねー、あのー、私共のほうで調べてみますので、お待ちくださいませ。
オペレーター: もしくは、こう、ま、舞茸とかトッピングするのかっていう、その、いろいろのせるものを選べるみたいな形になってるみたいなんですけど、とてもおいしそうですよね。,カスタマー: うん。
オペレーター: ワインとか飲まない人が多いんじゃないの？,カスタマー: あ、はい。あ、日本酒ございました。
オペレーター: ほぉーん。,カスタマー: 地産地消の沖縄料理が味わえるお店、となっております。
オペレーター: では京都にいつ頃ご旅行なさいますか？,カスタマー: えーとー春ーですね。
オペレーター: だけじゃないです、はい、はい。,カスタマー: 気になりますねー、はは、かなり、うんうん。
オペレーター: まわられることになっておりますのでー,カスタマー: はい、はい。
オペレーター: そどっちをあのメインで作ってるとかもちょっとわかりかねるかたちですね。,カスタマー: <>、ホームページはあるんですか？
オペレーター: はーい。,カスタマー: こちらの説明を読ませていただくとー、平成9年地下鉄長堀鶴見線、緑地線のー、開通に伴い誕生したって書かれております。
オペレーター: まあでも、割と本当に立ち寄りスポットみたいな。,カスタマー: ところですね。
オペレーター: と、この冬に、あのー、ま、親孝行じゃないですけれども。,カスタマー: はい。
オペレーター: で、こちらが、ま、あのー、シープドッグ、あの、羊と犬の、ま、ショーみたいなのがやってるので。,カスタマー: うん。
オペレーター: うんうん。,カスタマー: あ、そういうふうに書いてあると安心ですね。
オペレーター: へぇー。,カスタマー: 味噌汁のようなものもあるようで。ちょっとしたおやつ感覚ではこの金次郎カフェ結構いいかなと。
オペレーター: あっ、わかりましたー。,カスタマー: で、えーとー…。
オペレーター: はい、ありがとうございます。,カスタマー: では、名前がですね、サンマリン気仙沼ホテル観洋です。
オペレーター: ま、昭和な感じのラーメン屋さんみたいな感じ<>も。,カスタマー: ええ、ええ。
オペレーター: ちょっとお待ちください。,カスタマー: はい。
オペレーター: はい。,カスタマー: ええ、ええ。
オペレーター: あとはこう、温泉卵を作っている風景とかも見ることができます。,カスタマー: ふんふんふん、あいいですね、もうついでに温泉卵も食べて一休みできそうな感じが。
オペレーター: ほー。,カスタマー: 夜は1万円以上になっております。
オペレーター: はい。こち…。,カスタマー: 良さそうですね。
オペレーター: はい。,カスタマー: はい。お願いします。
オペレーター: はい。,カスタマー: なんだろうな。
オペレーター: はい。,カスタマー: えと一応お昼はおそばを食べたんですけどやっぱ、また肉料理的なものとかがよろしいでしょうかー。
オペレーター: はい。,カスタマー: あのー、ほら…んー、例えば草津温泉とか、なんとか温泉って、こう、こう名前、名前があったりするじゃないですか。
オペレーター: ていうか、その。,カスタマー: ええ。ん、はい。
オペレーター: 保よしさん。,カスタマー: はい。
オペレーター: はい。鹿児島県の、えー、鹿児島県で何したいとか、あ、えーと、ご予定の、えーと、人数などお伺いできますか。,カスタマー: あ、妻と2人で行きたいな。
オペレーター: えー。,カスタマー: ええー、まあそれは本島ですか？
オペレーター: こちらで過ごすことが、はい、できます。はい。,カスタマー: うん。あと何かお客さまのほうで、他に、あの、ご要望とかありますか？
オペレーター: こちら、あの、いっ、あの、観光客ではなくて一般の方も、あの、買われる、あの、普通の、あの、スーパーにはなってるんですけれども、はい。,カスタマー: はい。こちら、あのー、その、地元の人が買うような、あの、食べ物ですとか、はい。
オペレーター: ばれました。そうですね。私もちょっと多分おそらくかまぼこ食べた後。,カスタマー: ええ、ええ。
オペレーター: ラムの、えー、厚焼きステーキが1620円。,カスタマー: はい、ふーん。
オペレーター: あ。こ、交流センターユピオさんで、お風呂に入ってー。それから、あじ、あのー、保よしさんで、あの、ご飯を食べてー。白瀧酒造さんに行ってみて、お酒のまあ、あのー、お買い物するなりして。あと、ゆのたに手作り村に行って、あのー、ま、え、お土産を購入するみたいな感じで。あとは、あの、絵画展ですか？,カスタマー: あ、ユピオさんね。はい。
オペレーター: はい。少々お待ちください。すいません。,カスタマー: はい。
オペレーター: はい北海道,カスタマー: 北海道
オペレーター: 凄くーあの、綺麗な所ですね。,カスタマー: 写真が出てるんですけれども、雰囲気も良さそうなので、お楽しみいただけると思います。
オペレーター: へぇー。,カスタマー: えっとー、富良野、は、えーハイランドふらのってゆうところなんですけれども、あのーふろな、富良野の、郊外に広がるラベンダーの森の、一角に、ラベンダー畑を、目の前に建つ、ってっ感じなんですけど、目の前に建っているので、結構みえ、見ながら大浴場は入れるんじゃないかとゆう感じなんですけれども。
オペレーター: アクセサリーって沖縄のなんか特別なものってあるんですか？特別というか、<>です。,カスタマー: そうですね、あの。なんかここで見る限りあ、貝殻とかの、沖縄の思い出とご一緒にって書いてあるんですけど、手作りの貝や、ソシズナとかっていうのが結構有名ですよね。
オペレーター: 感じだと思うので、もうちょっと、ちょっと趣向が違うような場所のほうがいいですかね？,カスタマー: そうですね、少し自然を感じられるほうが、いいですね。
オペレーター: えぇ。,カスタマー: まぁちょっとイメージするのが。
オペレーター: あぁー。,カスタマー: あぁー。
オペレーター: うんうん。,カスタマー: ま、その上で、まぁ恐竜とかですね。あと昆虫とかの標本とかもあるようです。
オペレーター: はい。,カスタマー: あのー、味の牛タン、福助本店さんとゆーお店がございまして。
オペレーター: あー。,カスタマー: うん。
オペレーター: あはは。はい。はい。はい。はい。,カスタマー: 結構ですね、ええ、たくさんの映画とかCMで取り上げられているようですので。
オペレーター: はい。,カスタマー: はい。
オペレーター: あ。,カスタマー: うーん、船だ、船とかも出てこないですね。
オペレーター: あ、はい。あ、はい。お願いしまーす。,カスタマー: はい。はい。はい。えーと、まずですね、あのー京都水族館に行かれまして。
オペレーター: じゃあ、もしかして、はい、ごめんなさい。,カスタマー: もしかしたらじゃあ新世界行った方がなんかいろいろ楽しめますかね？なんか。
オペレーター: はい。,カスタマー: やっぱり和歌山も地酒のなんか蔵って結構いくつかあるんですかね？
オペレーター: はい。,カスタマー: であと1日、えー、ご旅行されるということですので、例えばもう一個温泉まわってみるとかー
オペレーター: じゃあ、陶芸で…、今ちょっと探…します。ちょっとお待ちください。,カスタマー: えーと…。
オペレーター: あ、そうね。温泉、というか、前。,カスタマー: はい。<>。
オペレーター: はい。,カスタマー: はい、じゃ、この度はお問い合わせいただきまして、ありがとうございました。
オペレーター: はい。,カスタマー: はい。
オペレーター: え？ミニグリコマン？なんですか？それ。フフフフ。,カスタマー: フフフフ。
オペレーター: えっと。,カスタマー: 能登牛のお店であの。
オペレーター: ちょっと、あのいらっしゃいませが、変わってて、めんそーれー、で…、迎えてくれるっていう。,カスタマー: むはははっはははっ、へーへ～…。
オペレーター: はい、なんかお昼で<>はい、美味しいお肉とか。,カスタマー: あ、<>。
オペレーター: んー。,カスタマー: はい。で最上階の5階にろ、えーと展望浴場がありまして、はい。あの陸奥湾ですね青森のむつ湾を眺めながらはい入れる温泉もございます。
オペレーター: はい。,カスタマー: あ、うんー、なるほど、はい。
オペレーター: はい,カスタマー: になってますので、ま、昼間行けば大丈夫ですね
オペレーター: はい、えーっとですね、何件か、見つかってますので、いくつかこちらでご紹介させていただいてもよろしいでしょうか？,カスタマー: はい、あ、はい、お願いします。
オペレーター: お客様お好み、最初は和風だったと思うんですけれども。<>ですかね。,カスタマー: ええええ。
オペレーター: あっ、ステンドグラス良いですね。やっぱりそういうの見たいですー。,カスタマー: はい。
オペレーター: はい、食べさせてくれるお店となっております、はい。でこちらそうですね、あのーえーっと太麺の3種類から麺が選べまして。,カスタマー: うん。
オペレーター: はい。,カスタマー: はい。大変お待たせいたしました。えーとですね、こちらで、あのー、確認をしましたところ、えーと、札幌藻岩山ロープウェーとございまして。
オペレーター: はい。,カスタマー: あのー、小木曽商店本店っていうところがあるんですが。
オペレーター: はい、かしこまりました、はいでは、お読み上げいた、いたします。,カスタマー: えー、0112220018、はい、復唱させていただきます、011、えー、222、えー、0018となっております。
オペレーター: ええ、こちらが、そうですね、こちらも仙台市内にございます。,カスタマー: ふーん。
オペレーター: あ、あの、いいですねー。,カスタマー: また、ちょうど行くのが、えーと、冬なので、えと、セイゴインダイコンですかね、を使ったお料理とかがあるんですけども、ええ。
オペレーター: ですから一応町中なんだとは思われるんですけど、周りには色々店が、ローソンとかホテルとか、色々ありますね。,カスタマー: 地図の中に色々とあの、国際通りとかがあの、近いですね。
オペレーター: うんうん。,カスタマー: ていうような部分ではいいかと思われるんです。
オペレーター: 他にもですね、あのー、例えばなんですけれども、あのー。,カスタマー: はい。
オペレーター: うんなんかその、二日目の方に例えばさっきのま動物園をこう<>設定するとか,カスタマー: うん
オペレーター: うんうん。,カスタマー: もし二つともなんかそういう感じであれば、あえて4月じゃなくて5月。
オペレーター: もうこの同じビルの地下1階にございますので、あの、立ち寄ってみてください。,カスタマー: うん。
オペレーター: はい、はい、あっはい、はい、かしこまりました。例えば、あの温泉でゆっくりしたいですとか、何か観光したいですとかそういったご要望はございますか？,カスタマー: うんうん。
オペレーター: はい。,カスタマー: なんという字なん…、ちょっとあの…、説明出来ないんですけどー、まあこちらが。
オペレーター: あ、わかりました。一応あの夏のご希望なので、あのー18時までやってます。,カスタマー: 閉店日はございま、あの不定休になっておりますので、あのそこだけご注意ください。
オペレーター: はい。,カスタマー: すごい大きなネズミ。
オペレーター: それかー、あと沖縄まあ沖縄家庭料理の…、お店とまあ泡盛がお楽しみなれるよう…、まあ居酒屋のような、場所…。,カスタマー: うんー。
オペレーター: ええ。,カスタマー: ええ、ええ。
オペレーター: そうですね。なかなか、こちらも、はい、よろしいかと思うんですけど。,カスタマー: はい。
オペレーター: そうですね。,カスタマー: はい。じゃあ、えっと、さっきの、先ほどの真鍋庭園さんと併せて、こちらもご案内って形でさせていただきます。
オペレーター: はい。,カスタマー: はい、こちらであの、公園、あの広いんですけれども。
オペレーター: はい。,カスタマー: 結構好きではあります。
オペレーター: そうですね。,カスタマー: <>とかもー、あのー、ね、天気が良ければ、荒俣峡とかは素晴らしいんじゃないかなと思うんですけれども。
オペレーター: なんでしょう？フフフ。,カスタマー: あのー。
オペレーター: お客様、大変お待たせいたしました。,カスタマー: はい
オペレーター: そうですねー、まずとりあえず海がみたいので、なんか伊豆とかの方かなー。,カスタマー: はい。
オペレーター: はい。,カスタマー: えーと、二条市場。
オペレーター: ええ、ええ、こちらがですね、えーと、沖縄家庭料理の店が、えーと、ま、いくつか。,カスタマー: うん、うん。
オペレーター: 大変便利なところでございますね。はい。,カスタマー: あー。
オペレーター: あの1日ゆっくりはい楽しめるところがありますので。,カスタマー: うん。
オペレーター: アンノイエですか？,カスタマー: ええ。
オペレーター: 荒俣峡、荒俣峡。,カスタマー: 荒俣峡。
オペレーター: あのー、いかがでしょうか、なんかすごく面白そう、<>なんですけど面白そうですね。ふんふんふん。,カスタマー: そこはーもう、はい。
オペレーター: ご友人と3名様ですね、はい。,カスタマー: はい。
オペレーター: 世界遺産、長崎ございましてー、で、まあ世界遺産の名称が、長崎と天草地方の、潜伏キリシタン関連遺産、というのがあってー。,カスタマー: はい。
オペレーター: お昼食べるの、仮にお昼だと要予約。,カスタマー: あー。
