text,label,predicted_label
オペレーター: ええ、ええ、ええー。 [SEP] カスタマー: 二つ行くというのはちょっと厳しいんですかね、距離的にとか。,0,1
オペレーター: そうですね。 [SEP] カスタマー: はい、候補に、入れたいですね。,0,1
オペレーター: ご自身の、オリジナル…の。ものが作れる。 [SEP] カスタマー: ああ、作れるんですねー、あーそれは面白そうだなー。,0,1
オペレーター: お客様、どのようなご旅行をお考えでしょうか? [SEP] カスタマー: あ、はい、えーとーですね。,0,1
オペレーター: はい。では、もう何件か、ご紹介いたしましょうか？ [SEP] カスタマー: そうですね。それで、えー、ちょっとその北村美術館っていうのは非常に興味がありますので。,0,1
オペレーター:はい、えー、まずタコスのお店が何度も申し上げまして申し訳ございませんが、タコス専門店タコヤ国際通り店でございますね。 [SEP] カスタマー:はい。,1,0
オペレーター:演芸みたいな形でよろしいですかね。 [SEP] カスタマー:そうですね、お笑いー、だったら。,1,0
オペレーター: はい。 [SEP] カスタマー: と思ってますし、ま、見るとこもあれば見たいなと、せっかく行くのでって感じですかね。,0,1
オペレーター: <>、スーッ。 [SEP] カスタマー: なんか陶芸…、沖縄陶芸ってー、あれですか、出て来ないですかね。,0,1
オペレーター: あ、一応、こ、ちょっと気をつ、気をつけていただきたいのが、閉店日が日曜日となってるんですが、大丈夫でしょうか？ [SEP] カスタマー: あまあ、春休み中なんで、多分平日に行くと思います。,0,1
オペレーター: あ。 [SEP] カスタマー: せっかく、せっかくだから、行く行かないは別にして、ふふふ。,0,1
オペレーター:ええ、ええ。はい。あ、ええ、ええ。はい。 [SEP] カスタマー:あとはあの、雪。京都っていってもあの、なんだろう。縦に長いと思うんですけど、雪が降る。,1,0
オペレーター:ぴったりなのかなー、という、ランチタイムに行列が出来るくらいですのでー、まあ、ただ、そこまでして、トルコライス食べたくないー。 [SEP] カスタマー:ええ。そうですね。そこまでしてっつうのはないですね。えうんー。,1,0
オペレーター: はい。 [SEP] カスタマー: ボートにしようかな、じゃあ。,0,1
オペレーター:なるほど、なるほど。 [SEP] カスタマー:もう。,1,0
オペレーター:えっと、季節的にはー、は、春とか夏とか、何か。 [SEP] カスタマー:<>、3月ぐらい。,1,0
オペレーター:あ、良かった、そうしますと、ゴーヤチャンプルも食べれるしー、島豆腐も食べれるしー、もとぶ牛も食べれるしー、アグー豚も食べれるしー、やんばる若鶏も食べれ、たぶん全部は食べれないですけれども、ええ、そうですよねー<>。 [SEP] カスタマー:あっはっは、ちょっと食べきれるか分からないけど、でもこのお店いいですね。,1,0
オペレーター: あ、お車なんでお酒は飲めないと思うんですけど、一応。 [SEP] カスタマー: その泊まる時にまあそのなんだろう、車停めてからちょっと歩いていけるみたいなとこだったらいいですね。,0,1
オペレーター:あと、なんか一応さっき仰られてたんですけど、動物園はいくつかありまして、んっとーカピバラとか見たければカピバラがいる動物園があるんですけど。 [SEP] カスタマー:行くんだったらね。,1,0
オペレーター:ではあのジョイナス森の、えー彫刻公園をあのチェックしておきますね。 [SEP] カスタマー:はい、お願いしまーす。,1,0
オペレーター:あるいはぼんやりとどういったことしたいなとかあればこちらの方でお調べ致します。 [SEP] カスタマー:あっ、はい。えっとそうですね、何か所か<>とこがあるんですけど,1,0
オペレーター:魚、あ。なんか、はい。 [SEP] カスタマー:なんかそういうところも。,1,0
オペレーター:ずんだのお餅とかのがいいですかね。 [SEP] カスタマー:ふっ、いいです。,1,0
オペレーター:では、えー、再来週、まあ冬の時期にあったご旅行先ということでよろしいでしょうか。 [SEP] カスタマー:はい、はい。,1,0
オペレーター: あ、さようでございますか、えー。 [SEP] カスタマー: だから、絶対、ほ、ホヤはとは思ったんだけど、うーん。,0,1
オペレーター: はい、楽しむことができます。 [SEP] カスタマー: そうですね、じゃ、この2つともー,0,1
オペレーター: お買い物で。 [SEP] カスタマー: 行きます。,0,1
オペレーター:神奈川県ですと、あのー、神奈川県だと、美術館とかが多いんですけれども。 [SEP] カスタマー:あ、いいですね、美術館。,1,0
オペレーター: このほて、リッツカールトン、で、って入ってるんですけど、一応ホテルで [SEP] カスタマー: んー、これがホテルの中なのかがちょっと。,0,1
オペレーター: はい。 [SEP] カスタマー: なので、やっぱりー、うん。,0,1
オペレーター:はい。じゃ、こちら、なかむらさんは、じゃ、ちょっと外しておきますね、じゃあ。 [SEP] カスタマー:あ、はい、すいません。,1,0
オペレーター:あらー。 [SEP] カスタマー:お酒飲めないんだけども、お米…あー。,1,0
オペレーター: まあ一応…、資料館的な場所なん…、まあえーとー、資料館というか史跡として残されてるみたいです。 [SEP] カスタマー: ああー、ちょと、それはちょっ…と是非、行きたいですね、それ。,0,1
オペレーター:はい。 [SEP] カスタマー:何か他に夜景がきれいなところってありましたかね？,1,0
オペレーター:はい、そちらもご案内いたしましょうか？ [SEP] カスタマー:あ、はい、お願いします。,1,0
オペレーター:あと、お肉がちょっと今出てこないので、えー。 [SEP] カスタマー:あ、もしお肉メインみたいなところがあるんなら。,1,0
オペレーター:なるほど。ではですねー。もっと普通な所で、お調べしますね。 [SEP] カスタマー:はい。,1,0
オペレーター:あーさようですか。 [SEP] カスタマー:薩摩の方の方が。,1,0
オペレーター:東京の新大久保に、お店がある、みたいで、ちょっとそれに次ぐ二店目ていうふうには書かれているんですけれども。 [SEP] カスタマー:なんかできれば、大阪にあるー、ないのがいいかなーみたいな思うんですけど。,1,0
オペレーター: 他に何かご興味あるものとかありますか？ [SEP] カスタマー: うーん、まぁそんだけあれば結構盛りだくさんな気もするんですけど。,0,1
オペレーター:ちょっと、でも、お洋服見るって感じじゃないですね。 [SEP] カスタマー:そうですね。ヘヘ。うんうん。観光だから。うん。,1,0
オペレーター: 北陸ですか。 [SEP] カスタマー: あのー<>考えてるんですけどー。,0,1
オペレーター:いかがでしょうか。 [SEP] カスタマー:はい。是非、あの、ええ。,1,0
オペレーター:記載されてるんで、おそらくあるんじゃないかなー、と思います。 [SEP] カスタマー:<>カニ食べたいです,1,0
オペレーター:はい、じゃあこちらチェック入れておきますね。 [SEP] カスタマー:お願いしまーす。,1,0
オペレーター:かしこまりました、ではえー、本日承りますのがー、こちら沖縄へのご旅行で、えー、時期が冬、一名様ということでお間違えないでしょうか。 [SEP] カスタマー:はい、そうです。,1,0
オペレーター:ではお客様、もしよろしければなんですけれどもー、あのー…、ミュージアムレストラン、ですので、折角なので、この長崎歴史文化博物館の方にも行ってみますか。 [SEP] カスタマー:あっ、そうですね、はい。,1,0
オペレーター: お歳の離れた、えー、妹様ですかね、ご一緒に<> [SEP] カスタマー: そうです、そうです、はい、そうです。,0,1
オペレーター:ええ、ええ。ありがとうございます。そうしますとちょうどですね、長崎ちゃんぽんの店と、皿うどんの店。 [SEP] カスタマー:あ、両方がいいです。,1,0
オペレーター: ふふふ [SEP] カスタマー: あのー、昭和天皇も召し上がった物を、あの、私たちもいただけるということであれば,0,1
オペレーター:九州のー、長崎県で、よろしいですか。 [SEP] カスタマー:はい、そうです。,1,0
